"","task","b","se","t","roi","hemi","community","parcel","r","control","conjunc"
"51","Stern",0.0212822007810706,0.0258451400264481,0.823450782595566,"LH_Cont_PFCl_2","LH","Cont","PFCl_2",0.106003683762437,FALSE,FALSE
"52","Stroop",-0.00146626460352737,0.0258451400264481,-0.0567327010813986,"LH_Cont_PFCl_2","LH","Cont","PFCl_2",0.106003683762437,FALSE,FALSE
"53","Axcpt",0.0900844127662747,0.0245593733958661,3.66802569895525,"LH_Cont_PFCl_3","LH","Cont","PFCl_3",0.154397285052933,FALSE,FALSE
"54","Cuedts",0.00521599107745692,0.0245593733958661,0.212382905434179,"LH_Cont_PFCl_3","LH","Cont","PFCl_3",0.154397285052933,FALSE,FALSE
"55","Stern",0.109426446330736,0.0245593733958661,4.45558787542822,"LH_Cont_PFCl_3","LH","Cont","PFCl_3",0.154397285052933,FALSE,FALSE
"56","Stroop",0.0206739502765264,0.0245593733958661,0.841794696602737,"LH_Cont_PFCl_3","LH","Cont","PFCl_3",0.154397285052933,FALSE,FALSE
"57","Axcpt",0.0588184236661644,0.0277804955515166,2.11725609995296,"LH_Cont_PFCl_4","LH","Cont","PFCl_4",0.160797881247008,FALSE,FALSE
"58","Cuedts",0.0103938165615366,0.0277804955515166,0.374140790334793,"LH_Cont_PFCl_4","LH","Cont","PFCl_4",0.160797881247008,FALSE,FALSE
"59","Stern",0.0998142013869756,0.0277804955515166,3.59295971527501,"LH_Cont_PFCl_4","LH","Cont","PFCl_4",0.160797881247008,FALSE,FALSE
"60","Stroop",-0.024723442210919,0.0277804955515166,-0.88995684634464,"LH_Cont_PFCl_4","LH","Cont","PFCl_4",0.160797881247008,FALSE,FALSE
"61","Axcpt",0.0764512445634673,0.0222386413273832,3.43776597850563,"LH_Cont_PFCl_5","LH","Cont","PFCl_5",0.0649115731929636,FALSE,FALSE
"62","Cuedts",-0.0107318192095159,0.0222386413273832,-0.482575308964647,"LH_Cont_PFCl_5","LH","Cont","PFCl_5",0.0649115731929636,FALSE,FALSE
"63","Stern",0.0608271085892658,0.0222386413273832,2.73519895814711,"LH_Cont_PFCl_5","LH","Cont","PFCl_5",0.0649115731929636,FALSE,FALSE
"64","Stroop",-0.00265172585861284,0.0222386413273832,-0.119239562326484,"LH_Cont_PFCl_5","LH","Cont","PFCl_5",0.0649115731929636,FALSE,FALSE
"65","Axcpt",0.13187336506408,0.0228102252584627,5.78132673263076,"LH_Cont_PFCl_6","LH","Cont","PFCl_6",0.0601736226572615,FALSE,FALSE
"66","Cuedts",0.0108324676648832,0.0228102252584627,0.474895251675094,"LH_Cont_PFCl_6","LH","Cont","PFCl_6",0.0601736226572615,FALSE,FALSE
"67","Stern",0.0863645976855804,0.0228102252584627,3.78622292007128,"LH_Cont_PFCl_6","LH","Cont","PFCl_6",0.0601736226572615,FALSE,FALSE
"68","Stroop",0.0263063673153041,0.0228102252584627,1.15327082557172,"LH_Cont_PFCl_6","LH","Cont","PFCl_6",0.0601736226572615,FALSE,FALSE
"69","Axcpt",0.122791939362559,0.0279621589433522,4.39136118249381,"LH_Cont_PFCl_7","LH","Cont","PFCl_7",0.120099617237744,FALSE,FALSE
"70","Cuedts",-0.000185400056019194,0.0279621589433522,-0.00663039132260105,"LH_Cont_PFCl_7","LH","Cont","PFCl_7",0.120099617237744,FALSE,FALSE
"71","Stern",0.0934234553603679,0.0279621589433522,3.34106731707061,"LH_Cont_PFCl_7","LH","Cont","PFCl_7",0.120099617237744,FALSE,FALSE
"72","Stroop",0.0250719667983657,0.0279621589433522,0.896639163276282,"LH_Cont_PFCl_7","LH","Cont","PFCl_7",0.120099617237744,FALSE,FALSE
"73","Axcpt",0.0488368400512,0.0227346973214015,2.1481192100687,"LH_Cont_PFCl_8","LH","Cont","PFCl_8",0.173537756206621,FALSE,FALSE
"74","Cuedts",0.00594686831062026,0.0227346973214015,0.261576753213342,"LH_Cont_PFCl_8","LH","Cont","PFCl_8",0.173537756206621,FALSE,FALSE
"75","Stern",0.066283340865992,0.0227346973214015,2.91551455156589,"LH_Cont_PFCl_8","LH","Cont","PFCl_8",0.173537756206621,FALSE,FALSE
"76","Stroop",-0.00628494994791098,0.0227346973214015,-0.27644748725089,"LH_Cont_PFCl_8","LH","Cont","PFCl_8",0.173537756206621,FALSE,FALSE
"77","Axcpt",0.0848496515765624,0.0208303871758288,4.07335931206408,"LH_Cont_PFCmp_1","LH","Cont","PFCmp_1",0.0361772828360726,FALSE,FALSE
"78","Cuedts",0.00504589659162645,0.0208303871758288,0.242237292520497,"LH_Cont_PFCmp_1","LH","Cont","PFCmp_1",0.0361772828360726,FALSE,FALSE
"79","Stern",0.0521349222655358,0.0208303871758288,2.5028302078817,"LH_Cont_PFCmp_1","LH","Cont","PFCmp_1",0.0361772828360726,FALSE,FALSE
"80","Stroop",-0.0173460636722946,0.0208303871758288,-0.832728817082318,"LH_Cont_PFCmp_1","LH","Cont","PFCmp_1",0.0361772828360726,FALSE,FALSE
"81","Axcpt",0.0230403005323317,0.0210901261336003,1.09246859816663,"LH_Cont_PFCv_1","LH","Cont","PFCv_1",0.124280994191353,FALSE,FALSE
"82","Cuedts",0.0147452754063129,0.0210901261336003,0.699155392097017,"LH_Cont_PFCv_1","LH","Cont","PFCv_1",0.124280994191353,FALSE,FALSE
"83","Stern",0.115189048775047,0.0210901261336003,5.46175248290862,"LH_Cont_PFCv_1","LH","Cont","PFCv_1",0.124280994191353,FALSE,FALSE
"84","Stroop",-0.0303695422740754,0.0210901261336003,-1.43998865069334,"LH_Cont_PFCv_1","LH","Cont","PFCv_1",0.124280994191353,FALSE,FALSE
"85","Axcpt",0.0908327018646193,0.0275556717736265,3.29633414894843,"LH_Cont_Temp_1","LH","Cont","Temp_1",0.0759039014393087,FALSE,TRUE
"86","Cuedts",-0.00670180002032159,0.0275556717736265,-0.243209458850351,"LH_Cont_Temp_1","LH","Cont","Temp_1",0.0759039014393087,FALSE,TRUE
"87","Stern",0.0594885539123143,0.0275556717736265,2.15884970618829,"LH_Cont_Temp_1","LH","Cont","Temp_1",0.0759039014393087,FALSE,TRUE
"88","Stroop",0.0568094570968204,0.0275556717736265,2.06162482858403,"LH_Cont_Temp_1","LH","Cont","Temp_1",0.0759039014393087,FALSE,TRUE
"89","Axcpt",0.0532913030168315,0.0212696121704641,2.50551362148643,"LH_Default_Par_1","LH","Default","Par_1",-0.00341726745954818,FALSE,FALSE
"90","Cuedts",-0.0156386751932675,0.0212696121704641,-0.735259066687829,"LH_Default_Par_1","LH","Default","Par_1",-0.00341726745954818,FALSE,FALSE
"91","Stern",0.0461515341055982,0.0212696121704641,2.16983430331119,"LH_Default_Par_1","LH","Default","Par_1",-0.00341726745954818,FALSE,FALSE
"92","Stroop",-0.00522539854524185,0.0212696121704641,-0.245674368830197,"LH_Default_Par_1","LH","Default","Par_1",-0.00341726745954818,FALSE,FALSE
"93","Axcpt",0.0234892004162363,0.0262538387237042,0.894695844803381,"LH_Default_Par_2","LH","Default","Par_2",0.123722062246623,FALSE,FALSE
"94","Cuedts",-0.00997977226118185,0.0262538387237042,-0.38012621187359,"LH_Default_Par_2","LH","Default","Par_2",0.123722062246623,FALSE,FALSE
"95","Stern",0.00438760896251577,0.0262538387237042,0.167122568577153,"LH_Default_Par_2","LH","Default","Par_2",0.123722062246623,FALSE,FALSE
"96","Stroop",-0.0419387444414036,0.0262538387237042,-1.59743285097344,"LH_Default_Par_2","LH","Default","Par_2",0.123722062246623,FALSE,FALSE
"97","Axcpt",-0.0244300392510478,0.0259172243076671,-0.942617888437254,"LH_Default_Par_3","LH","Default","Par_3",0.0270928699622426,FALSE,FALSE
"98","Cuedts",-0.0157543335267808,0.0259172243076671,-0.607871172458858,"LH_Default_Par_3","LH","Default","Par_3",0.0270928699622426,FALSE,FALSE
"99","Stern",0.00473562823255231,0.0259172243076671,0.182721273556728,"LH_Default_Par_3","LH","Default","Par_3",0.0270928699622426,FALSE,FALSE
"100","Stroop",-0.0737243773314219,0.0259172243076671,-2.84460930137538,"LH_Default_Par_3","LH","Default","Par_3",0.0270928699622426,FALSE,FALSE
"101","Axcpt",0.0272246752098199,0.0296074360739499,0.919521539853073,"LH_Default_Par_4","LH","Default","Par_4",0.0280385733792742,FALSE,FALSE
"102","Cuedts",-0.0163282729514786,0.0296074360739499,-0.551492297769241,"LH_Default_Par_4","LH","Default","Par_4",0.0280385733792742,FALSE,FALSE
"103","Stern",-0.0160345307405307,0.0296074360739499,-0.541571066825293,"LH_Default_Par_4","LH","Default","Par_4",0.0280385733792742,FALSE,FALSE
"104","Stroop",-0.032095679406309,0.0296074360739499,-1.08404116202917,"LH_Default_Par_4","LH","Default","Par_4",0.0280385733792742,FALSE,FALSE
"105","Axcpt",0.0907451829944558,0.0259213067044057,3.5007950806366,"LH_Default_Par_5","LH","Default","Par_5",0.178443150489478,FALSE,FALSE
"106","Cuedts",-0.0231242947829201,0.0259213067044057,-0.892096029209429,"LH_Default_Par_5","LH","Default","Par_5",0.178443150489478,FALSE,FALSE
"107","Stern",0.0334171385252473,0.0259213067044057,1.28917646422383,"LH_Default_Par_5","LH","Default","Par_5",0.178443150489478,FALSE,FALSE
"108","Stroop",0.0124861936700055,0.0259213067044057,0.481696151061834,"LH_Default_Par_5","LH","Default","Par_5",0.178443150489478,FALSE,FALSE
"109","Axcpt",0.0451199257068235,0.0265623928667274,1.69863934823966,"LH_Default_Par_6","LH","Default","Par_6",0.104940062213606,FALSE,FALSE
"110","Cuedts",-0.0230348297303323,0.0265623928667274,-0.867197087472725,"LH_Default_Par_6","LH","Default","Par_6",0.104940062213606,FALSE,FALSE
"111","Stern",0.0386860872482024,0.0265623928667274,1.45642327640826,"LH_Default_Par_6","LH","Default","Par_6",0.104940062213606,FALSE,FALSE
"112","Stroop",-0.0467700925297307,0.0265623928667274,-1.76076352625278,"LH_Default_Par_6","LH","Default","Par_6",0.104940062213606,FALSE,FALSE
"113","Axcpt",0.109631433986305,0.0254958761266245,4.29996731400104,"LH_Default_Par_7","LH","Default","Par_7",0.0250505279194761,FALSE,FALSE
"114","Cuedts",-0.0169651794381956,0.0254958761266245,-0.665408764693495,"LH_Default_Par_7","LH","Default","Par_7",0.0250505279194761,FALSE,FALSE
"115","Stern",0.0456123460743804,0.0254958761266245,1.78900877333448,"LH_Default_Par_7","LH","Default","Par_7",0.0250505279194761,FALSE,FALSE
"116","Stroop",0.0120016868661265,0.0254958761266245,0.470730513692506,"LH_Default_Par_7","LH","Default","Par_7",0.0250505279194761,FALSE,FALSE
"117","Axcpt",-0.110460878181259,0.0325959282668901,-3.38879375598153,"LH_Default_pCunPCC_1","LH","Default","pCunPCC_1",0.0931553241215689,FALSE,FALSE
"118","Cuedts",0.0189084078274237,0.0325959282668901,0.580084962532888,"LH_Default_pCunPCC_1","LH","Default","pCunPCC_1",0.0931553241215689,FALSE,FALSE
"119","Stern",0.0667364419898091,0.0325959282668901,2.04738584044553,"LH_Default_pCunPCC_1","LH","Default","pCunPCC_1",0.0931553241215689,FALSE,FALSE
"120","Stroop",-0.123642293363295,0.0325959282668901,-3.79318215302636,"LH_Default_pCunPCC_1","LH","Default","pCunPCC_1",0.0931553241215689,FALSE,FALSE
"121","Axcpt",0.0969397294081896,0.027251068840602,3.55728173361614,"LH_Default_pCunPCC_10","LH","Default","pCunPCC_10",0.02377229537077,FALSE,FALSE
"122","Cuedts",-0.0042817165840535,0.027251068840602,-0.157121051254843,"LH_Default_pCunPCC_10","LH","Default","pCunPCC_10",0.02377229537077,FALSE,FALSE
"123","Stern",0.0657647282410914,0.027251068840602,2.41328986491373,"LH_Default_pCunPCC_10","LH","Default","pCunPCC_10",0.02377229537077,FALSE,FALSE
"124","Stroop",-0.0028056597651855,0.027251068840602,-0.10295595308927,"LH_Default_pCunPCC_10","LH","Default","pCunPCC_10",0.02377229537077,FALSE,FALSE
"125","Axcpt",0.0410077676425291,0.0224527740338608,1.82640094184735,"LH_Default_pCunPCC_11","LH","Default","pCunPCC_11",0.044943316754044,FALSE,FALSE
"126","Cuedts",-0.00760009292758276,0.0224527740338608,-0.338492380323302,"LH_Default_pCunPCC_11","LH","Default","pCunPCC_11",0.044943316754044,FALSE,FALSE
"127","Stern",0.0601169994840004,0.0224527740338608,2.67748650537963,"LH_Default_pCunPCC_11","LH","Default","pCunPCC_11",0.044943316754044,FALSE,FALSE
"128","Stroop",-0.0334116809967017,0.0224527740338608,-1.48808699300647,"LH_Default_pCunPCC_11","LH","Default","pCunPCC_11",0.044943316754044,FALSE,FALSE
"129","Axcpt",-0.0745588599770211,0.0279754554191975,-2.6651526797257,"LH_Default_pCunPCC_2","LH","Default","pCunPCC_2",0.0788825134485629,FALSE,FALSE
"130","Cuedts",0.00707229101797048,0.0279754554191975,0.25280342757592,"LH_Default_pCunPCC_2","LH","Default","pCunPCC_2",0.0788825134485629,FALSE,FALSE
"131","Stern",0.0263816225300898,0.0279754554191975,0.943027455130757,"LH_Default_pCunPCC_2","LH","Default","pCunPCC_2",0.0788825134485629,FALSE,FALSE
"132","Stroop",-0.111837819258347,0.0279754554191975,-3.99771219386839,"LH_Default_pCunPCC_2","LH","Default","pCunPCC_2",0.0788825134485629,FALSE,FALSE
"133","Axcpt",-0.113959812576954,0.0311108600221928,-3.66302353890767,"LH_Default_pCunPCC_3","LH","Default","pCunPCC_3",0.0453135796878943,FALSE,FALSE
"134","Cuedts",0.00746962400715635,0.0311108600221928,0.240096995127358,"LH_Default_pCunPCC_3","LH","Default","pCunPCC_3",0.0453135796878943,FALSE,FALSE
"135","Stern",-0.0115519640439663,0.0311108600221928,-0.371316126771349,"LH_Default_pCunPCC_3","LH","Default","pCunPCC_3",0.0453135796878943,FALSE,FALSE
"136","Stroop",-0.113376645163469,0.0311108600221928,-3.64427872076157,"LH_Default_pCunPCC_3","LH","Default","pCunPCC_3",0.0453135796878943,FALSE,FALSE
"137","Axcpt",0.00111764219959174,0.0319579623758994,0.0349722609484825,"LH_Default_pCunPCC_4","LH","Default","pCunPCC_4",0.135377090393681,FALSE,FALSE
