session,task,run,subj,name,trial.type,iti,cue,probe,target.color,location,cue.cresp,target.cresp,cue.rt,cue.acc,cue.resp,target.rt,target.acc,resp,trialacc,time.cue.onset.abs,time.target.onset.abs,time.target.rt.abs,time.cue.rt.abs,time.scan.start,trial.num,acc,time.cue.onset,time.cue.rt,time.target.onset,time.target.rt,time.block1.on,time.block2.on,time.block3.on,time.block1.off,time.block2.off,time.block3.off
bas,axc,1,130518,bas_axc_run1_130518,BY,4000,N,P,white,center,1,1,537,1,1,436,1,1,1,358460,363259,363695,358997,145441,23,1,213.019,213.556,217.818,218.254,28.432,260.028,491.624,231.632,463.229,694.825
bas,axc,1,130518,bas_axc_run1_130518,Ang,4000,A,5,white,center,1,,489,1,1,0,1,,1,368058,372857,0,368547,145441,24,1,222.617,223.106,227.416,-145.441,28.432,260.028,491.624,231.632,463.229,694.825
bas,axc,1,130518,bas_axc_run1_130518,Ang,2800,A,9,white,center,1,,469,1,1,0,1,,1,407669,412468,0,408138,145441,25,1,262.228,262.697,267.027,-145.441,28.432,260.028,491.624,231.632,463.229,694.825
bas,axc,1,130518,bas_axc_run1_130518,BX,2800,M,X,white,center,1,1,500,1,1,414,1,1,1,416067,420866,421280,416567,145441,26,1,270.626,271.126,275.425,275.839,28.432,260.028,491.624,231.632,463.229,694.825
bas,axc,1,130518,bas_axc_run1_130518,Ang,1600,A,1,white,center,1,,501,1,1,0,1,,1,424466,429265,0,424967,145441,27,1,279.025,279.526,283.824,-145.441,28.432,260.028,491.624,231.632,463.229,694.825
bas,axc,1,130518,bas_axc_run1_130518,BY,1600,D,T,white,center,1,1,400,1,1,401,1,1,1,431665,436464,436865,432065,145441,28,1,286.224,286.624,291.023,291.424,28.432,260.028,491.624,231.632,463.229,694.825
bas,axc,1,130518,bas_axc_run1_130518,AX,1600,A,X,white,center,1,2,421,1,1,421,1,2,1,438864,443663,444084,439285,145441,29,1,293.423,293.844,298.222,298.643,28.432,260.028,491.624,231.632,463.229,694.825
bas,axc,1,130518,bas_axc_run1_130518,BY,4000,M,P,white,center,1,1,427,1,1,460,1,1,1,446062,450862,451322,446489,145441,30,1,300.621,301.048,305.421,305.881,28.432,260.028,491.624,231.632,463.229,694.825
bas,axc,1,130518,bas_axc_run1_130518,AX,4000,A,X,white,center,1,2,517,1,1,491,1,2,1,455661,460460,460951,456178,145441,31,1,310.22,310.737,315.019,315.51,28.432,260.028,491.624,231.632,463.229,694.825
bas,axc,1,130518,bas_axc_run1_130518,AX,4000,A,X,white,center,1,2,349,1,1,331,1,2,1,465259,470059,470390,465608,145441,32,1,319.818,320.167,324.618,324.949,28.432,260.028,491.624,231.632,463.229,694.825
bas,axc,1,130518,bas_axc_run1_130518,AY,2800,A,D,white,center,1,1,397,1,1,698,1,1,1,474858,479657,480355,475255,145441,33,1,329.417,329.814,334.216,334.914,28.432,260.028,491.624,231.632,463.229,694.825
bas,axc,1,130518,bas_axc_run1_130518,BY,2800,D,N,white,center,1,1,684,1,1,491,1,1,1,483257,488056,488547,483941,145441,34,1,337.816,338.5,342.615,343.106,28.432,260.028,491.624,231.632,463.229,694.825
bas,axc,1,130518,bas_axc_run1_130518,AY,4000,A,N,white,center,1,1,709,1,1,642,1,1,1,491655,496471,497113,492364,145441,35,1,346.214,346.923,351.03,351.672,28.432,260.028,491.624,231.632,463.229,694.825
bas,axc,1,130518,bas_axc_run1_130518,BX,1600,U,X,white,center,1,1,724,1,1,728,1,1,1,501270,506070,506798,501994,145441,36,1,355.829,356.553,360.629,361.357,28.432,260.028,491.624,231.632,463.229,694.825
bas,axc,1,130518,bas_axc_run1_130518,Bng,2800,P,9,white,center,1,,421,1,1,0,1,,1,508469,513268,0,508890,145441,37,1,363.028,363.449,367.827,-145.441,28.432,260.028,491.624,231.632,463.229,694.825
bas,axc,1,130518,bas_axc_run1_130518,AX,1600,A,X,white,center,1,2,502,1,1,373,1,2,1,516868,521667,522040,517370,145441,38,1,371.427,371.929,376.226,376.599,28.432,260.028,491.624,231.632,463.229,694.825
bas,axc,1,130518,bas_axc_run1_130518,BY,4000,U,P,white,center,1,1,271,1,1,384,1,1,1,524067,528866,529250,524338,145441,39,1,378.626,378.897,383.425,383.809,28.432,260.028,491.624,231.632,463.229,694.825
bas,axc,1,130518,bas_axc_run1_130518,BY,4000,F,C,white,center,1,1,414,1,1,484,1,1,1,533665,538464,538948,534079,145441,40,1,388.224,388.638,393.023,393.507,28.432,260.028,491.624,231.632,463.229,694.825
bas,axc,1,130518,bas_axc_run1_130518,BY,1600,H,U,white,center,1,1,585,1,1,338,1,1,1,543264,548063,548401,543849,145441,41,1,397.823,398.408,402.622,402.96,28.432,260.028,491.624,231.632,463.229,694.825
bas,axc,1,130518,bas_axc_run1_130518,AX,1600,A,X,white,center,1,2,596,1,1,309,1,2,1,550462,555262,555571,551058,145441,42,1,405.021,405.617,409.821,410.13,28.432,260.028,491.624,231.632,463.229,694.825
bas,axc,1,130518,bas_axc_run1_130518,BY,4000,M,F,white,center,1,1,346,1,1,368,1,1,1,557661,562461,562829,558007,145441,43,1,412.22,412.566,417.02,417.388,28.432,260.028,491.624,231.632,463.229,694.825
bas,axc,1,130518,bas_axc_run1_130518,Bng,1600,H,5,white,center,1,,476,1,1,0,1,,1,567260,572059,0,567736,145441,44,1,421.819,422.295,426.618,-145.441,28.432,260.028,491.624,231.632,463.229,694.825
bas,axc,1,130518,bas_axc_run1_130518,BY,4000,U,D,white,center,1,1,593,1,1,441,1,1,1,574459,579258,579699,575052,145441,45,1,429.018,429.611,433.817,434.258,28.432,260.028,491.624,231.632,463.229,694.825
bas,axc,1,130518,bas_axc_run1_130518,AX,2800,A,X,white,center,1,2,518,1,1,752,1,2,1,584057,588856,589608,584575,145441,46,1,438.616,439.134,443.415,444.167,28.432,260.028,491.624,231.632,463.229,694.825
bas,axc,1,130518,bas_axc_run1_130518,AX,2800,A,X,white,center,1,2,409,1,1,296,1,2,1,592456,597255,597551,592865,145441,47,1,447.015,447.424,451.814,452.11,28.432,260.028,491.624,231.632,463.229,694.825
bas,axc,1,130518,bas_axc_run1_130518,AX,2800,A,X,white,center,1,2,440,1,1,262,1,2,1,600871,605670,605932,601311,145441,48,1,455.43,455.87,460.229,460.491,28.432,260.028,491.624,231.632,463.229,694.825
bas,axc,1,130518,bas_axc_run1_130518,Bng,1600,M,4,white,center,1,,465,1,1,0,1,,1,639265,644064,0,639730,145441,49,1,493.824,494.289,498.623,-145.441,28.432,260.028,491.624,231.632,463.229,694.825
bas,axc,1,130518,bas_axc_run1_130518,BY,4000,P,H,white,center,1,1,314,1,1,346,1,1,1,646464,651263,651609,646778,145441,50,1,501.023,501.337,505.822,506.168,28.432,260.028,491.624,231.632,463.229,694.825
bas,axc,1,130518,bas_axc_run1_130518,BY,2800,P,M,white,center,1,1,455,1,1,325,1,1,1,656062,660862,661187,656517,145441,51,1,510.621,511.076,515.421,515.746,28.432,260.028,491.624,231.632,463.229,694.825
