wave,task,session,subj,r,neg_rmse
wave2,Cuedts,proactive,DMCC6705371,0.905584707981983,-0.153917672333968
wave2,Cuedts,proactive,DMCC6721369,0.736199091487342,-0.170895325898816
wave1,Stern,proactive,130518,,
wave1,Stern,proactive,155938,0.834572467318059,-0.244519813229489
wave1,Stern,proactive,178647,,
wave1,Stern,proactive,203418,0.71472065952941,-0.220980148912998
wave1,Stern,proactive,393550,0.809403963215732,-0.205395752878758
wave1,Stern,proactive,448347,0.785994657545468,-0.218005215953666
wave1,Stern,proactive,672756,0.823875578956094,-0.269782901608679
wave1,Stern,proactive,849971,0.783051065696463,-0.209278745315113
wave1,Stern,proactive,877168,0.833078098289862,-0.203347356626066
wave1,Stern,proactive,DMCC1596165,0.643042723902284,-0.265977535980785
wave1,Stern,proactive,DMCC2609759,0.916446797531562,-0.167465968304572
wave1,Stern,proactive,DMCC3091953,0.807465940348569,-0.134714422973504
wave1,Stern,proactive,DMCC6484785,0.861881050397633,-0.154133840906251
wave1,Stern,proactive,DMCC6627478,0.876720827411545,-0.220431152358401
wave1,Stern,proactive,DMCC6705371,0.878242957887385,-0.180737639358529
wave1,Stern,proactive,DMCC6721369,0.858513949147267,-0.192038330139062
wave2,Stern,proactive,130518,0.891700358852798,-0.214324737195931
wave2,Stern,proactive,155938,0.948371095128548,-0.160039949134457
wave2,Stern,proactive,178647,0.784940375749927,-0.188978872244612
wave2,Stern,proactive,203418,0.832969023688276,-0.181097638951926
wave2,Stern,proactive,393550,0.856060849031105,-0.175808438398417
wave2,Stern,proactive,448347,0.819105048125762,-0.231137455438873
wave2,Stern,proactive,672756,0.894711683291308,-0.215243620424291
wave2,Stern,proactive,849971,0.815752558394312,-0.19900842277806
wave2,Stern,proactive,877168,0.799117768949392,-0.15989836439215
wave2,Stern,proactive,DMCC1596165,0.800603785636532,-0.207487107180283
wave2,Stern,proactive,DMCC2609759,0.687014556521014,-0.284727155653204
wave2,Stern,proactive,DMCC3091953,0.782541898841489,-0.149921944231882
wave2,Stern,proactive,DMCC6484785,0.853331417547108,-0.151282292360554
wave2,Stern,proactive,DMCC6627478,0.910113302788376,-0.228276381385733
wave2,Stern,proactive,DMCC6705371,0.891661766678791,-0.205341929328749
wave2,Stern,proactive,DMCC6721369,0.93452634209999,-0.182905635156476
wave1,Stroop,proactive,130518,0.821262093878949,-0.0793549489545963
wave1,Stroop,proactive,155938,0.682556133207298,-0.0992452968709244
wave1,Stroop,proactive,178647,0.746897002432169,-0.109061344694675
wave1,Stroop,proactive,203418,0.837012479656723,-0.0663024527404523
wave1,Stroop,proactive,393550,0.769547902381244,-0.0634775789007548
wave1,Stroop,proactive,448347,0.876263943867505,-0.0915333247134898
wave1,Stroop,proactive,672756,0.699822604324885,-0.0777647993703799
wave1,Stroop,proactive,849971,0.794849124669466,-0.0743446604387255
wave1,Stroop,proactive,877168,0.790272022949375,-0.0800362291257016
wave1,Stroop,proactive,DMCC1596165,0.792272667312085,-0.107377423030181
wave1,Stroop,proactive,DMCC2609759,0.746350401372723,-0.0673303499572472
wave1,Stroop,proactive,DMCC3091953,0.599021358680502,-0.0806861948123584
wave1,Stroop,proactive,DMCC6484785,0.792974872541504,-0.0626820918514853
wave1,Stroop,proactive,DMCC6627478,0.829851459380555,-0.0728934458807827
wave1,Stroop,proactive,DMCC6705371,0.741316793570117,-0.112977231920417
wave1,Stroop,proactive,DMCC6721369,0.848571716337336,-0.121708559392891
wave2,Stroop,proactive,130518,0.696998442359493,-0.0866081156479315
wave2,Stroop,proactive,155938,0.845652129036236,-0.0770616531839811
wave2,Stroop,proactive,178647,0.739803002107646,-0.0813324526272305
wave2,Stroop,proactive,203418,0.754785984248411,-0.0631205163385103
wave2,Stroop,proactive,393550,0.827313535210504,-0.0662449929106087
wave2,Stroop,proactive,448347,0.864625411195954,-0.0895713278228158
wave2,Stroop,proactive,672756,0.872531136344856,-0.0666818775090849
wave2,Stroop,proactive,849971,0.726418188124806,-0.0760650971765082
wave2,Stroop,proactive,877168,0.765712086243315,-0.0805382462073294
wave2,Stroop,proactive,DMCC1596165,0.850956745020707,-0.0742084469877702
wave2,Stroop,proactive,DMCC2609759,0.769953822984499,-0.0671051327771192
wave2,Stroop,proactive,DMCC3091953,0.690213420463314,-0.116964977590189
wave2,Stroop,proactive,DMCC6484785,0.912449061072354,-0.0664375561821711
wave2,Stroop,proactive,DMCC6627478,0.847706905883866,-0.0762056270437041
wave2,Stroop,proactive,DMCC6705371,0.771465915547239,-0.0836230691357112
wave2,Stroop,proactive,DMCC6721369,0.76022349548641,-0.0775408264741986
wave1,Axcpt,reactive,130518,0.854202380879458,-0.161468820079986
wave1,Axcpt,reactive,155938,0.89587729968362,-0.112450062907674
wave1,Axcpt,reactive,178647,0.906246685012231,-0.0990421598822187
wave1,Axcpt,reactive,203418,0.804566145793461,-0.0882299864738464
wave1,Axcpt,reactive,393550,0.940676339934581,-0.103111597629865
wave1,Axcpt,reactive,448347,0.878183902524207,-0.175007963878871
wave1,Axcpt,reactive,672756,0.95310749366367,-0.0834997436284967
wave1,Axcpt,reactive,849971,0.925095671044615,-0.115517104837288
wave1,Axcpt,reactive,877168,0.878493968179935,-0.135374998751055
wave1,Axcpt,reactive,DMCC1596165,0.916403779128018,-0.158373554701087
wave1,Axcpt,reactive,DMCC2609759,0.895042699620034,-0.121071772098465
wave1,Axcpt,reactive,DMCC3091953,0.866107694402949,-0.109954252648981
wave1,Axcpt,reactive,DMCC6484785,0.820116778405517,-0.128893290801845
wave1,Axcpt,reactive,DMCC6627478,0.918632042743097,-0.100135189453887
wave1,Axcpt,reactive,DMCC6705371,0.869628409037422,-0.100330482943987
wave1,Axcpt,reactive,DMCC6721369,0.927570045847562,-0.14565085874267
wave2,Axcpt,reactive,130518,0.9203798074203,-0.161813869167794
wave2,Axcpt,reactive,155938,0.961068697080215,-0.112999308003752
wave2,Axcpt,reactive,178647,0.901009321382174,-0.111177230960707
wave2,Axcpt,reactive,203418,0.906989876321877,-0.0820135730420546
wave2,Axcpt,reactive,393550,0.881301854167161,-0.145623828702121
wave2,Axcpt,reactive,448347,0.883474500119132,-0.165429053585878
wave2,Axcpt,reactive,672756,0.894565844788685,-0.110100726685216
wave2,Axcpt,reactive,849971,0.893435127918164,-0.120725787149199
wave2,Axcpt,reactive,877168,0.928222422069782,-0.106790320633473
wave2,Axcpt,reactive,DMCC1596165,0.852851722907079,-0.145665053031645
wave2,Axcpt,reactive,DMCC2609759,0.854989278589376,-0.12481891489522
wave2,Axcpt,reactive,DMCC3091953,0.731248350317332,-0.0988588904837808
wave2,Axcpt,reactive,DMCC6484785,0.908352975357701,-0.12010198752024
wave2,Axcpt,reactive,DMCC6627478,0.954405767061268,-0.149890735761716
wave2,Axcpt,reactive,DMCC6705371,0.933167330619894,-0.146563810306518
wave2,Axcpt,reactive,DMCC6721369,0.890541978716655,-0.116019361724111
wave1,Cuedts,reactive,130518,,
wave1,Cuedts,reactive,155938,0.785770556091466,-0.158082942084316
wave1,Cuedts,reactive,178647,0.844999642953086,-0.135074978903559
wave1,Cuedts,reactive,203418,0.825275706761022,-0.0935737832893242
wave1,Cuedts,reactive,393550,0.808467696970865,-0.12480674156085
wave1,Cuedts,reactive,448347,0.86374419367069,-0.184621028911477
wave1,Cuedts,reactive,672756,0.865786937707773,-0.101752815770711
wave1,Cuedts,reactive,849971,0.831857815093512,-0.112665590726229
wave1,Cuedts,reactive,877168,0.852234836259341,-0.144703035791366
wave1,Cuedts,reactive,DMCC1596165,0.895197030236394,-0.166055240357472
wave1,Cuedts,reactive,DMCC2609759,0.813960979540585,-0.140322830865877
wave1,Cuedts,reactive,DMCC3091953,0.690670103768911,-0.107431504412378
wave1,Cuedts,reactive,DMCC6484785,0.766001489927387,-0.110960016606275
wave1,Cuedts,reactive,DMCC6627478,0.783216084503246,-0.177717364423988
wave1,Cuedts,reactive,DMCC6705371,0.786239989792353,-0.227237257071373
wave1,Cuedts,reactive,DMCC6721369,0.847712417350301,-0.129985601013897
wave2,Cuedts,reactive,130518,0.818954477072139,-0.122746969441361
wave2,Cuedts,reactive,155938,0.806822565849999,-0.139858082768965
wave2,Cuedts,reactive,178647,,
wave2,Cuedts,reactive,203418,0.804305294962615,-0.089017654501406
wave2,Cuedts,reactive,393550,0.786091760785526,-0.1115834229188
wave2,Cuedts,reactive,448347,0.876068323170625,-0.166485153819705
wave2,Cuedts,reactive,672756,0.790767402823404,-0.11375069440909
wave2,Cuedts,reactive,849971,0.728330488864874,-0.111677248632188
wave2,Cuedts,reactive,877168,0.850394809640302,-0.132475045516666
wave2,Cuedts,reactive,DMCC1596165,,
wave2,Cuedts,reactive,DMCC2609759,0.867984768806888,-0.139767975327678
wave2,Cuedts,reactive,DMCC3091953,0.752589359707911,-0.118543532967754
wave2,Cuedts,reactive,DMCC6484785,0.833818201266898,-0.130169445683209
wave2,Cuedts,reactive,DMCC6627478,0.850217313774329,-0.157519989366213
wave2,Cuedts,reactive,DMCC6705371,0.849794308972296,-0.17467564149102
wave2,Cuedts,reactive,DMCC6721369,0.848761543665443,-0.124189031987
wave1,Stern,reactive,130518,,
wave1,Stern,reactive,155938,0.830405777851554,-0.150534638826655
wave1,Stern,reactive,178647,0.756579963628121,-0.242875985781888
wave1,Stern,reactive,203418,0.779974228089297,-0.129149551215053
wave1,Stern,reactive,393550,0.941249606449323,-0.144481951373993
wave1,Stern,reactive,448347,0.831859032204894,-0.221601554764643
wave1,Stern,reactive,672756,0.752067085842761,-0.188122716912176
wave1,Stern,reactive,849971,0.830645587506876,-0.159964408346035
wave1,Stern,reactive,877168,0.794088555124123,-0.195371619817068
wave1,Stern,reactive,DMCC1596165,0.86511521194011,-0.197659495077655
wave1,Stern,reactive,DMCC2609759,0.920598905730054,-0.213703162540933
wave1,Stern,reactive,DMCC3091953,0.85617296580352,-0.161765361353087
wave1,Stern,reactive,DMCC6484785,0.775501238879401,-0.156431727984009
wave1,Stern,reactive,DMCC6627478,0.597747493866622,-0.23144127874879
wave1,Stern,reactive,DMCC6705371,0.868760063238105,-0.316925360768112
wave1,Stern,reactive,DMCC6721369,0.796891661533718,-0.175449427365967
wave2,Stern,reactive,130518,0.856381020282266,-0.203235460415442
wave2,Stern,reactive,155938,0.855528181939479,-0.15670528432602
wave2,Stern,reactive,178647,0.865532719608664,-0.224346486376079
wave2,Stern,reactive,203418,0.805851934858176,-0.151902654441997
wave2,Stern,reactive,393550,0.791207281777985,-0.173314180803386
wave2,Stern,reactive,448347,0.700023955765829,-0.242330093969951
wave2,Stern,reactive,672756,0.799322509259043,-0.188523951470273
wave2,Stern,reactive,849971,0.712333693188972,-0.249746950591544
wave2,Stern,reactive,877168,0.799937541153172,-0.258417218784866
wave2,Stern,reactive,DMCC1596165,0.898045643289145,-0.210645075002979
wave2,Stern,reactive,DMCC2609759,0.88722228049373,-0.143591869028915
wave2,Stern,reactive,DMCC3091953,0.805343965580005,-0.138271335597606
wave2,Stern,reactive,DMCC6484785,0.758877842459301,-0.168257071846366
wave2,Stern,reactive,DMCC6627478,0.71597326557278,-0.277952802127372
wave2,Stern,reactive,DMCC6705371,0.907385865931055,-0.290014635241866
wave2,Stern,reactive,DMCC6721369,0.795696900112376,-0.307952969323296
wave1,Stroop,reactive,130518,0.569013579037368,-0.158193470348712
wave1,Stroop,reactive,155938,0.30821930859669,-0.165140013279744
wave1,Stroop,reactive,178647,0.525246571614693,-0.163703565873051
wave1,Stroop,reactive,203418,0.559473480016194,-0.118913407602523
wave1,Stroop,reactive,393550,0.616096233020451,-0.100283875373711
wave1,Stroop,reactive,448347,,
wave1,Stroop,reactive,672756,0.61358010976798,-0.115275107045493
wave1,Stroop,reactive,849971,0.23041529413234,-0.182575013052276
wave1,Stroop,reactive,877168,0.476906774969411,-0.161077810348415
wave1,Stroop,reactive,DMCC1596165,0.355171354052852,-0.187692011229324
wave1,Stroop,reactive,DMCC2609759,0.34344686934194,-0.188375709245108
wave1,Stroop,reactive,DMCC3091953,0.485604572361074,-0.122261174893194
wave1,Stroop,reactive,DMCC6484785,0.392209274173964,-0.104191549612012
wave1,Stroop,reactive,DMCC6627478,0.564207214622364,-0.204013014491917
wave1,Stroop,reactive,DMCC6705371,0.464976294342986,-0.144563188201511
wave1,Stroop,reactive,DMCC6721369,,
wave2,Stroop,reactive,130518,0.374257109463995,-0.204294246320016
wave2,Stroop,reactive,155938,0.170515736881981,-0.155608187656073
wave2,Stroop,reactive,178647,0.617667679145974,-0.145456871085637
wave2,Stroop,reactive,203418,0.539501748177943,-0.120165308185614
wave2,Stroop,reactive,393550,0.488265340000935,-0.12307453594129
wave2,Stroop,reactive,448347,,
wave2,Stroop,reactive,672756,0.624439392702771,-0.155124965733079
wave2,Stroop,reactive,849971,0.409321709849979,-0.199609923353619
wave2,Stroop,reactive,877168,0.746590556790303,-0.198119044889644
wave2,Stroop,reactive,DMCC1596165,0.258854471178551,-0.135683104137212
wave2,Stroop,reactive,DMCC2609759,0.576260258894431,-0.177000963513332
wave2,Stroop,reactive,DMCC3091953,0.533043229338133,-0.0966515782181477
wave2,Stroop,reactive,DMCC6484785,0.489261313581234,-0.139135247138511
wave2,Stroop,reactive,DMCC6627478,0.457166921570003,-0.127705797299733
wave2,Stroop,reactive,DMCC6705371,0.624461238180893,-0.25400479158445
wave2,Stroop,reactive,DMCC6721369,0.497317864782144,-0.185639626816074
